,Rok,Miesiąc,Dzień,T_MAX,T_MIN,T_ŚR,Suma dobowa opadów,Średnia wilgotność,Średnia prędkość wiatru,Średnie zachmurzenie,Ciśnienie na stacji
0,2009.0,1.0,1.0,-3.5,-7.5,-5.6,1.2,79.0,3.0,5.3,994.0
1,2009.0,1.0,2.0,-1.5,-4.4,-3.3,1.3,91.0,2.0,5.3,994.1
2,2009.0,1.0,3.0,-2.6,-7.7,-5.7,0.3,84.8,2.7,4.7,994.6
3,2009.0,1.0,4.0,-2.1,-7.8,-4.2,4.6,88.8,2.3,7.7,985.2
4,2009.0,1.0,5.0,-3.1,-6.1,-4.6,1.3,90.0,3.0,7.7,987.7
5,2009.0,1.0,6.0,-5.4,-15.5,-11.4,0.0,86.8,2.0,5.3,995.4
6,2009.0,1.0,7.0,-4.2,-15.4,-9.8,0.6,85.5,1.7,7.3,988.7
7,2009.0,1.0,8.0,-2.2,-7.5,-5.6,0.0,80.5,2.3,1.7,999.0
8,2009.0,1.0,9.0,-2.6,-11.6,-7.8,0.0,74.8,2.3,4.0,1001.1
9,2009.0,1.0,10.0,-0.2,-7.3,-2.8,0.0,81.8,1.7,8.0,1002.4
10,2009.0,1.0,11.0,2.1,-5.1,-2.3,0.0,84.5,1.0,2.7,1004.7
11,2009.0,1.0,12.0,-2.0,-11.4,-7.7,0.0,82.3,0.7,0.0,1002.1
12,2009.0,1.0,13.0,-1.2,-11.6,-7.4,0.0,81.3,1.3,0.7,993.8
13,2009.0,1.0,14.0,-1.5,-10.1,-5.5,0.0,87.3,1.7,7.7,987.3
14,2009.0,1.0,15.0,0.4,-2.0,-0.8,2.7,84.0,2.7,8.0,990.2
15,2009.0,1.0,16.0,1.2,-1.1,-0.2,0.9,85.5,2.0,8.0,995.9
16,2009.0,1.0,17.0,-0.9,-6.1,-3.6,0.7,75.5,1.3,7.0,995.2
17,2009.0,1.0,18.0,2.9,-4.1,-1.4,0.4,89.0,1.0,7.3,983.4
18,2009.0,1.0,19.0,5.9,-3.8,0.9,0.0,70.0,2.3,3.3,977.7
19,2009.0,1.0,20.0,9.0,-3.6,2.0,0.0,83.0,1.3,6.0,974.2
20,2009.0,1.0,21.0,6.4,1.8,3.7,11.5,90.3,1.0,7.7,977.9
21,2009.0,1.0,22.0,4.2,0.9,2.0,2.2,97.3,1.3,8.0,978.4
22,2009.0,1.0,23.0,2.1,0.5,1.2,0.3,98.0,2.0,8.0,965.3
23,2009.0,1.0,24.0,6.2,0.1,3.1,0.7,91.8,1.3,8.0,960.6
24,2009.0,1.0,25.0,4.5,1.4,2.3,0.0,90.0,0.7,7.7,972.9
25,2009.0,1.0,26.0,2.6,-2.3,0.6,0.0,92.8,2.0,7.7,977.7
