,Rok,Miesiąc,Dzień,T_MAX,T_MIN,T_ŚR,Suma dobowa opadów,Średnia wilgotność,Średnia prędkość wiatru,Średnie zachmurzenie,Ciśnienie na stacji
0,2022.0,1.0,1.0,12.1,9.3,10.4,0.6,92.5,3.0,8.0,991.6
1,2022.0,1.0,2.0,12.6,7.3,9.2,0.0,86.8,1.7,7.3,989.3
2,2022.0,1.0,3.0,11.1,6.3,9.0,1.9,67.3,4.0,6.7,980.9
3,2022.0,1.0,4.0,10.9,5.1,8.1,1.5,86.8,1.7,7.3,972.1
4,2022.0,1.0,5.0,12.1,3.8,6.4,5.4,88.5,2.7,8.0,971.9
5,2022.0,1.0,6.0,4.8,-0.6,1.8,1.0,69.0,3.7,7.0,982.0
6,2022.0,1.0,7.0,2.9,-6.2,-3.1,0.0,72.8,1.0,1.7,991.5
7,2022.0,1.0,8.0,0.7,-8.1,-3.9,0.0,76.3,0.7,5.3,985.0
8,2022.0,1.0,9.0,4.1,-2.9,-0.9,0.0,76.8,0.3,6.0,976.9
9,2022.0,1.0,10.0,-0.8,-6.6,-3.7,0.0,89.8,2.0,6.0,989.2
10,2022.0,1.0,11.0,-0.8,-4.6,-3.1,0.0,79.0,1.7,6.7,1003.7
11,2022.0,1.0,12.0,-3.5,-4.8,-4.3,0.1,76.8,1.7,7.7,1006.9
12,2022.0,1.0,13.0,4.0,-4.8,0.6,0.0,84.0,4.3,8.0,1003.1
13,2022.0,1.0,14.0,4.6,2.3,3.5,0.4,81.5,5.0,8.0,995.9
14,2022.0,1.0,15.0,4.6,-0.5,1.0,0.0,75.5,3.7,2.3,998.0
15,2022.0,1.0,16.0,4.1,-3.9,-0.4,0.2,78.5,1.3,7.0,992.8
16,2022.0,1.0,17.0,3.3,-0.8,1.4,5.2,81.5,5.3,5.7,987.0
17,2022.0,1.0,18.0,1.3,-1.4,-0.2,0.0,80.8,2.7,7.3,1002.2
18,2022.0,1.0,19.0,3.2,-1.8,0.0,0.0,75.5,2.0,6.0,996.8
19,2022.0,1.0,20.0,4.3,-2.8,1.0,1.1,75.5,5.0,6.3,983.4
20,2022.0,1.0,21.0,-0.8,-2.9,-2.1,3.5,79.5,4.0,7.7,988.6
21,2022.0,1.0,22.0,-0.7,-5.7,-3.2,0.0,85.8,2.7,6.0,992.5
22,2022.0,1.0,23.0,0.8,-3.2,-1.5,0.0,76.3,2.0,7.7,1000.9
23,2022.0,1.0,24.0,0.1,-9.2,-4.9,0.0,77.0,1.0,3.7,1005.5
24,2022.0,1.0,25.0,1.8,-1.9,0.4,0.6,89.0,2.3,8.0,1000.1
25,2022.0,1.0,26.0,2.2,1.1,1.5,1.2,93.3,3.0,8.0,996.3
26,2022.0,1.0,27.0,2.4,0.7,1.4,1.2,85.5,4.3,7.7,989.6
27,2022.0,1.0,28.0,3.4,1.1,2.2,4.6,90.3,4.7,7.7,987.2
28,2022.0,1.0,29.0,3.9,-1.9,0.4,0.9,79.0,2.0,5.7,991.3
29,2022.0,1.0,30.0,6.8,1.1,4.2,1.6,68.5,6.7,7.7,977.5
30,2022.0,1.0,31.0,4.6,1.5,2.4,0.7,64.8,2.3,6.0,978.4
31,2022.0,2.0,1.0,2.1,-0.2,0.7,6.6,79.8,2.3,6.7,978.9
32,2022.0,2.0,2.0,4.8,0.6,2.3,5.6,89.5,2.7,7.0,974.4
33,2022.0,2.0,3.0,4.4,0.0,1.4,0.9,80.5,2.0,6.0,989.7
34,2022.0,2.0,4.0,6.5,0.6,3.3,0.2,83.0,0.7,6.7,984.6
35,2022.0,2.0,5.0,6.0,1.6,3.4,0.7,73.0,4.3,5.0,986.1
36,2022.0,2.0,6.0,5.8,0.2,3.5,1.9,74.5,3.3,8.0,981.3
37,2022.0,2.0,7.0,6.0,2.0,3.7,2.2,84.8,3.7,7.7,976.3
38,2022.0,2.0,8.0,5.8,2.1,3.5,3.2,77.8,4.7,7.3,992.6
39,2022.0,2.0,9.0,8.8,3.8,6.4,0.0,88.3,2.7,8.0,995.7
40,2022.0,2.0,10.0,11.8,5.0,7.3,0.2,71.0,1.3,7.3,992.1
41,2022.0,2.0,11.0,8.5,2.7,5.1,1.0,74.0,2.3,8.0,991.4
42,2022.0,2.0,12.0,5.4,-0.6,1.2,0.0,65.3,1.7,1.7,1003.5
43,2022.0,2.0,13.0,9.9,-5.7,-0.2,0.0,67.5,0.7,1.7,996.0
44,2022.0,2.0,14.0,11.3,-4.1,2.1,0.0,60.8,1.0,0.0,986.9
45,2022.0,2.0,15.0,11.3,-2.6,3.0,0.2,75.5,1.0,3.3,984.7
46,2022.0,2.0,16.0,12.9,1.6,6.6,0.8,65.8,2.0,6.3,980.6
47,2022.0,2.0,17.0,11.3,4.5,8.5,7.6,62.8,6.0,7.7,967.4
48,2022.0,2.0,18.0,11.0,3.6,6.5,0.1,58.0,3.7,4.3,978.5
49,2022.0,2.0,19.0,13.6,5.7,8.5,0.0,36.5,5.3,3.0,980.1
50,2022.0,2.0,20.0,8.8,-1.3,4.3,0.6,56.8,3.3,7.0,983.0
51,2022.0,2.0,21.0,9.8,4.3,7.1,0.7,65.3,3.0,5.7,972.4
52,2022.0,2.0,22.0,7.5,0.9,4.1,0.6,66.5,4.0,4.0,981.7
53,2022.0,2.0,23.0,8.4,1.9,4.8,1.4,77.3,3.7,4.7,990.5
54,2022.0,2.0,24.0,14.4,-1.8,4.3,0.0,62.5,1.7,1.7,991.4
55,2022.0,2.0,25.0,7.6,2.1,4.9,0.6,63.0,2.0,6.0,989.2
56,2022.0,2.0,26.0,5.8,-2.8,1.0,0.0,80.8,1.3,5.7,999.8
57,2022.0,2.0,27.0,7.0,-1.3,1.5,0.0,72.3,2.3,4.0,1004.8
58,2022.0,2.0,28.0,3.2,-2.6,0.0,0.0,69.3,2.7,5.3,1004.7
59,2022.0,3.0,1.0,4.8,-4.5,-1.0,0.0,67.5,1.0,1.3,1003.9
60,2022.0,3.0,2.0,6.7,-4.7,-0.4,0.0,67.5,1.0,2.0,995.7
61,2022.0,3.0,3.0,6.7,-2.8,1.1,0.0,58.3,1.3,3.7,989.0
62,2022.0,3.0,4.0,3.4,-1.0,1.0,1.4,75.5,2.0,8.0,990.3
63,2022.0,3.0,5.0,3.0,0.0,1.0,0.0,69.5,2.0,7.0,993.3
64,2022.0,3.0,6.0,1.2,-0.2,0.3,0.0,59.0,1.7,8.0,993.3
65,2022.0,3.0,7.0,3.5,-1.7,0.5,0.0,54.8,1.7,7.3,992.1
66,2022.0,3.0,8.0,5.8,-1.5,1.9,0.0,68.0,2.0,6.3,993.8
67,2022.0,3.0,9.0,8.2,0.7,4.0,0.1,65.3,2.3,8.0,994.2
68,2022.0,3.0,10.0,6.3,-2.5,0.0,0.0,59.0,2.7,1.7,1002.9
69,2022.0,3.0,11.0,3.5,-6.1,-2.1,0.0,49.3,2.7,0.0,1005.3
70,2022.0,3.0,12.0,8.3,-7.2,-0.7,0.0,53.0,1.7,2.3,1001.8
71,2022.0,3.0,13.0,10.3,-4.7,2.1,0.0,49.0,1.7,2.3,998.4
72,2022.0,3.0,14.0,14.8,-3.6,4.2,0.0,55.5,1.3,0.0,1001.0
73,2022.0,3.0,15.0,16.5,-1.0,6.6,0.0,51.0,1.0,4.7,999.9
74,2022.0,3.0,16.0,12.3,5.5,8.2,0.0,52.0,1.3,3.7,994.7
75,2022.0,3.0,17.0,10.6,-0.1,4.2,0.0,57.5,3.3,2.3,1003.8
76,2022.0,3.0,18.0,10.2,-1.2,3.5,0.0,44.0,2.3,2.3,1010.0
77,2022.0,3.0,19.0,8.9,-3.5,2.1,0.0,39.5,3.0,0.0,1012.3
78,2022.0,3.0,20.0,11.3,-3.7,3.1,0.0,41.5,2.3,0.7,1012.9
79,2022.0,3.0,21.0,14.1,-3.8,4.1,0.0,53.3,2.0,0.0,1010.6
80,2022.0,3.0,22.0,19.0,-1.7,7.5,0.0,53.3,1.7,0.0,1008.1
81,2022.0,3.0,23.0,22.5,-1.5,8.5,0.0,54.0,0.7,0.0,1001.7
82,2022.0,3.0,24.0,16.2,0.8,7.5,0.0,55.5,2.0,0.0,998.0
83,2022.0,3.0,25.0,17.2,0.8,7.8,0.0,60.0,1.3,0.7,998.1
84,2022.0,3.0,26.0,18.1,1.9,9.6,0.0,59.0,4.3,4.7,996.8
85,2022.0,3.0,27.0,14.0,0.3,5.8,0.0,52.3,1.0,2.3,1001.7
86,2022.0,3.0,28.0,20.2,-0.8,8.9,0.1,51.5,2.0,1.7,992.2
87,2022.0,3.0,29.0,14.9,6.9,10.8,0.5,67.3,2.7,7.7,980.5
88,2022.0,3.0,30.0,13.6,5.5,8.7,5.9,73.0,1.3,7.3,975.7
89,2022.0,3.0,31.0,9.2,1.3,3.8,10.8,96.5,3.0,8.0,971.9
90,2022.0,4.0,1.0,1.8,0.6,0.9,7.0,95.3,2.7,8.0,969.9
91,2022.0,4.0,2.0,1.3,-0.3,0.2,3.0,91.8,2.3,8.0,975.6
92,2022.0,4.0,3.0,3.7,-2.0,0.2,0.0,73.5,3.3,6.0,985.1
93,2022.0,4.0,4.0,8.1,-0.8,2.9,0.9,61.5,2.7,3.7,984.2
94,2022.0,4.0,5.0,8.5,3.0,5.6,1.9,84.0,2.7,7.7,975.4
95,2022.0,4.0,6.0,15.9,6.9,11.3,0.0,66.3,2.7,6.3,976.5
96,2022.0,4.0,7.0,19.5,6.7,12.7,1.1,67.5,2.7,6.7,968.0
97,2022.0,4.0,8.0,15.3,7.4,10.1,6.0,56.8,4.3,5.0,968.5
98,2022.0,4.0,9.0,7.9,4.4,6.1,1.6,85.8,2.0,6.7,973.3
99,2022.0,4.0,10.0,9.3,0.7,4.6,0.0,75.5,3.0,4.7,986.4
100,2022.0,4.0,11.0,9.3,1.5,5.1,0.5,71.5,2.3,6.0,991.2
101,2022.0,4.0,12.0,14.4,2.5,7.9,0.0,60.0,1.3,2.3,992.4
102,2022.0,4.0,13.0,17.5,0.7,8.7,0.0,51.5,2.0,3.0,993.5
103,2022.0,4.0,14.0,22.8,4.4,12.9,0.1,49.5,1.3,2.3,991.0
104,2022.0,4.0,15.0,16.9,9.6,12.1,6.5,85.8,1.7,8.0,990.7
105,2022.0,4.0,16.0,11.1,4.8,7.0,2.5,77.0,2.3,7.3,996.6
106,2022.0,4.0,17.0,9.6,2.8,6.2,0.0,58.8,2.0,5.3,997.3
107,2022.0,4.0,18.0,9.9,1.5,5.7,0.0,61.5,1.7,6.0,988.5
108,2022.0,4.0,19.0,10.7,3.9,6.6,0.0,65.0,2.0,3.3,983.8
109,2022.0,4.0,20.0,8.3,0.7,4.7,0.0,78.0,2.7,8.0,985.0
110,2022.0,4.0,21.0,12.9,4.7,8.0,0.3,76.5,1.7,7.7,984.0
111,2022.0,4.0,22.0,12.0,7.3,8.8,0.0,84.3,3.0,7.7,981.7
112,2022.0,4.0,23.0,16.2,4.0,9.2,1.0,67.5,1.0,3.7,980.1
113,2022.0,4.0,24.0,16.9,4.1,9.8,3.3,87.8,2.3,7.0,976.5
114,2022.0,4.0,25.0,15.4,6.5,10.5,4.8,82.8,1.3,7.3,978.1
115,2022.0,4.0,26.0,11.2,7.9,9.1,0.0,83.5,2.0,7.7,987.3
116,2022.0,4.0,27.0,13.3,3.6,8.8,0.0,80.8,1.0,7.0,992.6
117,2022.0,4.0,28.0,18.6,6.1,11.7,0.0,63.8,1.3,2.7,996.3
118,2022.0,4.0,29.0,17.9,5.1,11.1,0.0,62.0,1.3,2.7,997.6
119,2022.0,4.0,30.0,17.9,3.6,11.0,0.0,55.5,1.0,5.7,994.6
120,2022.0,5.0,1.0,21.4,4.7,13.1,0.0,51.3,1.0,5.0,991.6
121,2022.0,5.0,2.0,21.7,8.3,14.4,0.0,60.3,1.3,3.0,988.9
122,2022.0,5.0,3.0,21.2,8.4,14.4,0.0,61.0,1.3,4.3,986.7
123,2022.0,5.0,4.0,21.3,9.9,15.1,0.0,56.8,2.0,3.0,989.4
124,2022.0,5.0,5.0,23.8,7.6,15.2,2.8,59.8,1.3,5.0,991.2
125,2022.0,5.0,6.0,17.9,11.2,14.5,0.3,84.5,0.7,8.0,993.9
126,2022.0,5.0,7.0,19.5,12.4,15.5,0.0,65.5,1.3,7.7,993.9
127,2022.0,5.0,8.0,22.1,12.7,16.5,2.9,73.3,2.0,6.3,994.3
128,2022.0,5.0,9.0,21.4,11.5,16.0,0.0,64.5,1.3,2.7,997.3
129,2022.0,5.0,10.0,22.3,7.4,14.4,0.0,52.3,1.7,1.7,994.0
130,2022.0,5.0,11.0,27.3,8.4,18.2,0.0,50.3,2.0,4.7,987.8
131,2022.0,5.0,12.0,28.4,12.7,21.2,0.0,49.5,2.7,4.0,986.2
132,2022.0,5.0,13.0,24.9,11.9,17.6,0.3,62.0,1.7,4.7,987.9
133,2022.0,5.0,14.0,22.5,10.9,16.6,0.0,58.0,2.7,5.0,990.4
134,2022.0,5.0,15.0,22.1,11.8,16.8,0.0,54.0,2.0,2.7,991.5
135,2022.0,5.0,16.0,24.5,7.6,16.1,0.0,59.5,1.0,3.0,991.1
136,2022.0,5.0,17.0,21.5,12.8,16.5,0.0,58.3,2.3,5.7,990.1
137,2022.0,5.0,18.0,20.0,5.5,12.2,0.0,50.3,1.0,0.3,998.8
138,2022.0,5.0,19.0,26.0,4.7,16.0,0.0,48.0,1.3,2.7,997.2
139,2022.0,5.0,20.0,28.3,9.0,19.7,0.9,53.0,1.7,4.0,990.8
140,2022.0,5.0,21.0,25.1,17.3,19.7,0.5,71.3,3.3,6.0,985.4
141,2022.0,5.0,22.0,18.8,11.8,14.9,0.0,66.5,2.7,6.3,986.0
142,2022.0,5.0,23.0,19.7,7.3,13.7,0.0,68.5,1.3,5.0,984.5
143,2022.0,5.0,24.0,21.6,9.8,15.4,0.6,79.8,0.7,7.7,981.8
144,2022.0,5.0,25.0,19.4,12.3,15.2,3.5,96.8,1.7,8.0,986.2
145,2022.0,5.0,26.0,22.7,9.2,16.2,0.0,64.0,3.3,5.3,990.1
146,2022.0,5.0,27.0,22.9,10.5,15.3,5.7,68.3,2.7,7.3,986.9
147,2022.0,5.0,28.0,16.8,9.0,12.8,0.4,66.0,3.0,4.7,985.4
148,2022.0,5.0,29.0,18.8,6.4,13.0,0.0,55.3,1.3,5.0,984.1
149,2022.0,5.0,30.0,19.0,10.0,14.2,0.0,68.3,1.7,5.7,983.4
150,2022.0,5.0,31.0,24.1,7.9,16.7,0.0,54.8,2.0,3.7,987.5
151,2022.0,6.0,1.0,25.1,12.8,18.4,1.3,62.0,1.3,5.3,986.7
152,2022.0,6.0,2.0,23.4,13.8,18.1,0.0,70.0,1.3,5.7,990.9
153,2022.0,6.0,3.0,26.5,9.1,18.4,1.0,51.8,2.3,2.3,993.3
154,2022.0,6.0,4.0,23.3,14.2,17.5,2.2,91.3,1.0,7.7,990.0
155,2022.0,6.0,5.0,25.9,14.7,19.7,0.0,67.5,2.0,1.7,991.1
156,2022.0,6.0,6.0,28.2,11.4,19.7,0.0,59.5,1.7,6.3,988.4
157,2022.0,6.0,7.0,28.8,15.6,21.0,9.9,71.8,1.7,5.3,985.3
158,2022.0,6.0,8.0,20.2,16.3,18.4,18.5,90.3,1.0,8.0,983.1
159,2022.0,6.0,9.0,26.4,14.7,19.0,3.2,89.3,1.3,5.7,981.2
160,2022.0,6.0,10.0,21.4,15.3,18.7,0.0,79.3,1.7,6.3,990.2
161,2022.0,6.0,11.0,24.9,14.4,19.5,0.0,63.0,1.7,1.7,993.3
162,2022.0,6.0,12.0,27.7,12.3,20.0,0.0,63.3,1.0,2.3,992.1
163,2022.0,6.0,13.0,25.5,13.4,18.3,9.7,68.8,1.3,6.0,987.7
164,2022.0,6.0,14.0,20.5,10.5,15.6,0.0,68.0,2.0,3.7,992.0
165,2022.0,6.0,15.0,23.6,10.8,17.3,0.0,56.3,1.3,2.7,992.9
166,2022.0,6.0,16.0,27.8,11.8,18.0,8.9,68.3,1.3,4.7,990.0
167,2022.0,6.0,17.0,23.3,14.4,18.5,0.0,73.5,1.7,5.0,992.9
168,2022.0,6.0,18.0,27.6,12.3,20.5,0.0,55.3,1.7,1.0,992.5
169,2022.0,6.0,19.0,33.1,14.8,24.7,0.0,48.5,1.3,0.7,986.0
170,2022.0,6.0,20.0,33.0,16.5,23.1,1.1,58.5,1.3,3.3,981.4
171,2022.0,6.0,21.0,21.2,13.6,16.8,0.0,62.8,3.0,5.3,984.3
172,2022.0,6.0,22.0,26.4,11.3,18.6,0.0,56.5,1.3,2.3,985.4
173,2022.0,6.0,23.0,26.8,11.9,20.0,0.0,51.8,1.7,2.0,987.6
174,2022.0,6.0,24.0,28.9,12.6,21.5,0.0,50.0,2.3,1.7,986.3
175,2022.0,6.0,25.0,31.0,15.5,23.4,0.0,52.5,1.3,5.3,984.6
176,2022.0,6.0,26.0,31.4,15.7,23.9,0.0,48.8,2.7,0.3,988.0
177,2022.0,6.0,27.0,33.4,17.4,25.6,0.0,51.3,1.7,1.3,988.9
178,2022.0,6.0,28.0,32.1,18.8,24.4,0.1,73.0,1.7,6.7,990.2
179,2022.0,6.0,29.0,32.8,19.2,25.1,0.0,69.5,1.7,5.7,988.2
180,2022.0,6.0,30.0,36.0,21.1,27.6,0.0,60.5,2.0,3.0,984.9
181,2022.0,7.0,1.0,36.7,19.6,28.2,0.2,52.5,2.0,3.7,984.7
182,2022.0,7.0,2.0,32.1,16.6,21.7,0.2,81.5,2.3,7.7,994.6
183,2022.0,7.0,3.0,29.3,14.6,22.0,0.0,65.0,1.3,3.0,991.7
184,2022.0,7.0,4.0,32.3,15.6,24.1,0.6,57.8,1.3,3.7,988.8
185,2022.0,7.0,5.0,28.1,18.1,21.3,23.3,89.3,1.0,8.0,989.3
186,2022.0,7.0,6.0,23.4,16.2,18.9,1.4,74.8,1.7,4.7,990.4
187,2022.0,7.0,7.0,24.1,12.9,17.7,0.0,68.5,1.3,5.7,990.1
188,2022.0,7.0,8.0,22.0,15.5,17.6,18.0,85.0,1.0,7.0,993.1
189,2022.0,7.0,9.0,23.4,13.9,18.3,0.0,65.0,1.7,7.0,992.5
190,2022.0,7.0,10.0,20.1,13.8,16.2,0.3,68.8,2.3,6.7,988.2
191,2022.0,7.0,11.0,19.4,12.7,15.0,4.0,83.5,2.7,7.0,990.0
192,2022.0,7.0,12.0,21.0,11.2,16.2,3.7,77.0,3.0,6.7,990.8
193,2022.0,7.0,13.0,27.8,13.4,20.9,0.0,56.8,2.7,4.3,989.5
194,2022.0,7.0,14.0,29.4,17.0,22.8,9.3,58.3,1.7,4.7,987.0
195,2022.0,7.0,15.0,22.6,16.0,18.8,0.0,62.0,2.0,2.3,988.8
196,2022.0,7.0,16.0,22.9,11.3,15.9,0.7,66.5,2.3,6.0,991.0
197,2022.0,7.0,17.0,23.4,10.7,17.2,0.0,60.0,2.0,2.7,996.4
198,2022.0,7.0,18.0,26.3,10.8,18.9,0.0,57.8,1.3,3.0,996.7
199,2022.0,7.0,19.0,30.4,13.9,22.3,0.0,54.0,1.3,2.3,993.8
